Name,AvgCountLine,AvgCountLineBlank,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,MaxCyclomatic,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,CountPathMin,"CountPathMean-divided-by-1,000","CountPathMax-divided-by-1,000,000",MaxNestingMin,MaxNestingMean,MaxNestingMax,Bugs
AccumuloQTestUtil.java,7.0,1.0,0.0,2.0,2.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.05,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0
AccumuloRangeGenerator.java,29.0,3.0,6.0,6.0,6.0,3.0,1.5,39.5,0.0,1.0,0.0,0.0,0.0,7.0,14.0,1.0,39.0,0.32,2.0,4.125,9.0,2.0,10.875,18.0,1.0,0.0,0.0,0.0,1.375,6.0,0.0
AccumuloRowIdFactory.java,0.0,0.0,0.0,0.0,0.0,0.0,1.25,20.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.5,30.5,2.11,1.0,3.3684210526315788,8.0,0.0,5.526315789473684,16.0,0.0,0.0,0.0,0.0,0.2105263157894736,2.0,0.0
AccumuloRowSerializer.java,28.0,3.0,6.0,4.0,3.0,2.0,1.0,39.0,0.0,1.0,0.0,0.0,0.0,9.0,15.0,1.0,36.5,0.36,1.0,7.533333333333333,16.0,1.0,13.666666666666666,37.0,1.0,0.0,0.0,0.0,0.9333333333333332,4.0,0.0
AccumuloSerDe.java,8.0,1.0,0.0,1.0,1.0,1.0,1.0,28.25,0.0,1.0,0.0,0.0,0.0,2.0,3.0,1.5,39.75,0.21,0.0,4.283018867924528,21.0,1.0,5.490566037735849,48.0,1.0,0.0,0.0,0.0,0.3584905660377358,2.0,0.0
AccumuloSerDeParameters.java,9.0,1.0,1.0,2.0,2.0,1.0,1.0,20.0,0.0,1.0,2.0,0.0,0.0,3.0,4.0,1.5,39.5,0.29,0.0,4.25925925925926,14.0,1.0,3.037037037037037,7.0,1.0,0.0,0.0,0.0,0.3703703703703703,2.0,0.0
AccumuloStorageHandler.java,15.0,1.0,1.0,3.0,3.0,1.0,2.0,38.5,0.0,1.0,0.0,0.0,0.0,3.0,9.0,1.5,71.5,0.16,0.0,4.166666666666667,14.0,0.0,7.777777777777778,20.0,1.0,0.0,0.0,0.0,0.4444444444444444,4.0,0.0
AccumuloTestSetup.java,17.0,2.0,1.0,2.0,2.0,1.0,1.0,20.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,40.0,0.25,2.0,7.0,12.0,2.0,6.75,13.0,2.0,0.0,0.0,1.0,1.5,2.0,0.0
AcidCompactionHistoryService.java,7.0,0.0,0.0,1.0,1.0,1.0,1.5,10.0,0.0,2.0,0.0,0.0,1.0,3.0,3.0,1.5,0.0,0.36,0.0,2.4,7.0,1.0,3.6,12.0,1.0,0.0,0.0,0.0,0.4,2.0,0.0
AcidEventListener.java,10.0,1.0,1.0,2.0,2.0,1.0,1.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,40.0,0.48,3.0,4.5,9.0,4.0,5.75,8.0,1.0,0.0,0.0,0.0,0.75,1.0,0.0
