,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxNesting,RatioCommentToCode,SumCyclomatic,Bugs
3652,TestTypeDescription.java,41.0,0.0,41.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,68.0,4.0,47.0,10.0,38.0,17.0,13.0,15.0,8.0,9.0,1.0,0.0,0.36,1.0,0.0
3653,TestTypeInfoToSchema.java,12.0,1.0,11.0,0.0,1.0,1.0,0.0,20.0,27.0,27.0,27.0,2.0,27.0,0.0,3.0,0.0,24.0,438.0,66.0,355.0,188.0,250.0,17.0,184.0,212.0,134.0,142.0,1.0,0.0,0.05,27.0,0.0
3654,TestTypeInfoUtils.java,18.0,1.0,17.0,0.0,3.0,1.0,1.0,0.0,3.0,3.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,83.0,10.0,56.0,26.0,35.0,17.0,19.0,30.0,14.0,16.0,3.0,1.0,0.3,8.0,0.0
3655,TestUDFBase64.java,11.0,0.0,10.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,38.0,4.0,16.0,12.0,8.0,18.0,12.0,14.0,12.0,8.0,1.0,0.0,1.13,1.0,0.0
3656,TestUDFCrc32.java,11.0,1.0,9.0,1.0,2.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,2.0,0.0,2.0,74.0,9.0,44.0,17.0,26.0,21.0,28.0,35.0,17.0,24.0,3.0,1.0,0.48,8.0,0.0
3657,TestUDFHex.java,11.0,0.0,10.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,38.0,4.0,16.0,12.0,8.0,18.0,12.0,14.0,12.0,8.0,1.0,0.0,1.13,1.0,0.0
3658,TestUDFJson.java,31.0,3.0,28.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,1.0,2.0,122.0,15.0,90.0,23.0,74.0,17.0,67.0,72.0,18.0,58.0,2.0,1.0,0.19,4.0,0.0
3659,TestUDFMath.java,7.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,15.0,15.0,15.0,1.0,15.0,0.0,1.0,0.0,14.0,150.0,20.0,113.0,66.0,60.0,17.0,67.0,83.0,52.0,59.0,1.0,0.0,0.15,15.0,0.0
3660,TestUDFMd5.java,7.0,1.0,6.0,1.0,2.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,2.0,0.0,2.0,57.0,9.0,29.0,16.0,14.0,19.0,19.0,24.0,16.0,14.0,3.0,0.0,0.66,8.0,0.0
3661,TestUDFSha1.java,7.0,1.0,6.0,1.0,2.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,2.0,0.0,2.0,57.0,9.0,29.0,16.0,14.0,19.0,19.0,24.0,16.0,14.0,3.0,0.0,0.66,8.0,0.0
