Name,AvgCountLine,AvgCountLineBlank,AvgCountLineComment,AvgCyclomatic,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclMethodDefault,CountDeclMethodPrivate,MaxCyclomatic,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,CountPathMin,"CountPathMean-divided-by-1,000,000","CountPathMax-divided-by-1,000,000",MaxNestingMin,MaxNestingMean,MaxNestingMax,Bugs
AccumuloQTestUtil.java,7.0,1.0,0.0,2.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.05,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0
AccumuloRangeGenerator.java,21.0,2.0,4.0,4.0,3.0,1.5,43.5,0.0,1.0,0.0,2.0,13.0,1.0,40.0,0.28,1.0,4.625,7.0,1.0,10.541666666666666,21.0,1.0,0.0,0.0,0.0,1.2083333333333333,6.0,0.0
AccumuloRowIdFactory.java,0.0,0.0,0.0,0.0,0.0,1.25,20.75,0.5,1.0,0.0,0.0,0.0,1.5,30.5,2.11,1.0,3.3684210526315788,8.0,0.0,5.684210526315789,16.0,0.0,0.0,0.0,0.0,0.2105263157894736,2.0,0.0
AccumuloRowSerializer.java,28.0,3.0,6.0,4.0,2.0,1.0,39.0,0.0,1.0,0.0,0.0,15.0,1.0,36.5,0.36,1.0,7.533333333333333,16.0,1.0,13.666666666666666,37.0,1.0,0.0,0.0,0.0,0.9333333333333332,4.0,0.0
AccumuloSerDe.java,8.0,1.0,0.0,1.0,1.0,1.0,29.0,0.0,1.0,0.0,0.0,3.0,1.5,40.5,0.21,0.0,4.222222222222222,21.0,1.0,5.407407407407407,48.0,1.0,0.0,0.0,0.0,0.3518518518518518,2.0,0.0
AccumuloSerDeParameters.java,9.0,1.0,1.0,2.0,1.0,1.0,21.5,0.0,1.0,0.0,0.0,4.0,1.5,41.0,0.27,0.0,4.142857142857143,14.0,1.0,2.9642857142857144,7.0,1.0,0.0,0.0,0.0,0.3571428571428571,2.0,0.0
AccumuloStorageHandler.java,16.0,2.0,1.0,3.0,1.0,2.0,37.0,0.0,1.0,0.0,1.0,11.0,1.5,78.5,0.16,0.0,4.35,15.0,0.0,8.075,20.0,1.0,0.0,0.0,0.0,0.5,4.0,0.0
AccumuloTestSetup.java,17.0,2.0,1.0,2.0,1.0,1.0,20.0,0.0,1.0,0.0,0.0,3.0,1.0,40.0,0.25,2.0,7.0,12.0,2.0,6.75,13.0,2.0,0.0,0.0,1.0,1.5,2.0,0.0
AcidCompactionHistoryService.java,8.0,0.0,0.0,2.0,1.0,2.0,13.0,0.0,1.0,0.0,0.0,3.0,1.0,38.0,0.47,1.0,3.5,7.0,1.0,4.25,11.0,1.0,0.0,0.0,0.0,0.5,2.0,0.0
AcidEventListener.java,12.0,1.0,1.0,2.0,1.0,1.0,19.0,0.0,1.0,0.0,1.0,3.0,2.0,44.0,0.25,2.0,3.857142857142857,12.0,4.0,7.714285714285714,14.0,1.0,0.0,0.0,0.0,0.8571428571428571,1.0,0.0
AcidHouseKeeperService.java,8.0,0.0,0.0,2.0,1.0,2.0,13.0,0.0,1.0,0.0,0.0,3.0,1.0,38.0,0.5,1.0,4.5,9.0,1.0,4.25,11.0,1.0,0.0,0.0,0.0,0.5,2.0,0.0
AcidInputFormat.java,6.0,0.0,1.0,1.0,1.0,1.3333333333333333,7.0,0.0,6.0,6.0,0.0,2.0,1.0,37.66666666666666,1.24,0.0,2.526315789473684,7.0,1.0,3.842105263157895,15.0,0.0,0.0,0.0,0.0,0.1052631578947368,1.0,0.0
AcidOpenTxnsCounterService.java,8.0,0.0,0.0,2.0,1.0,2.0,10.0,0.0,1.0,0.0,0.0,3.0,1.0,56.0,0.48,1.0,3.75,8.0,1.0,3.75,9.0,1.0,0.0,0.0,0.0,0.5,2.0,0.0
AcidOutputFormat.java,6.0,0.0,3.0,1.0,1.0,2.0,12.0,1.0,2.0,2.0,0.0,3.0,1.0,94.0,0.8,1.0,8.0,37.0,1.0,1.5405405405405406,3.0,0.0,0.0,0.0,0.0,0.1081081081081081,2.0,0.0
