Name,AvgCountLine,AvgCountLineBlank,AvgCountLineComment,AvgCyclomatic,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclMethodDefault,MaxCyclomatic,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,"CountPathMin-divided-by-1,000","CountPathMean-divided-by-1,000,000","CountPathMax-divided-by-1,000,000",MaxNestingMin,MaxNestingMean,MaxNestingMax,Bugs
HCatContext.java,7.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.53,4.0,4.5,5.0,2.0,5.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
HCatCreateDBDesc.java,9.0,0.0,4.0,1.0,1.0,1.0,4.5,0.0,2.0,1.0,1.0,5.0,1.0,67.0,0.94,1.0,6.538461538461538,29.0,1.0,2.3076923076923075,7.0,0.0,0.0,0.0,0.0,0.0769230769230769,1.0,0.0
HCatCreateTableDesc.java,9.0,0.0,5.0,1.0,1.0,1.0,10.5,0.0,2.0,3.0,0.0,2.0,1.0,56.0,1.26,1.0,3.6052631578947367,28.0,1.0,2.1842105263157894,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCatDataCheckUtil.java,9.0,0.0,0.0,2.0,1.0,1.0,23.0,0.0,1.0,10.0,0.0,7.0,1.0,0.0,0.21,2.0,4.6,10.0,1.0,4.3,13.0,0.0,0.0,0.0,0.0,0.8,5.0,0.0
HCatDatabase.java,8.0,0.0,3.0,2.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,5.0,1.0,50.0,1.17,1.0,2.6,4.0,1.0,1.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCatDriver.java,52.0,6.0,4.0,9.0,4.0,1.0,18.0,0.0,1.0,0.0,0.0,15.0,2.0,0.0,0.24,5.0,7.666666666666667,11.0,9.0,13.333333333333334,21.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0
HCatEventMessage.java,3.0,0.0,0.0,1.0,1.0,1.0,5.0,14.0,2.0,0.0,1.0,4.0,1.0,33.0,0.98,0.0,7.625,23.0,1.0,3.75,17.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0
HCatException.java,10.0,0.0,5.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,0.0,4.0,1.0,64.0,1.44,0.0,2.6,7.0,1.0,3.2,9.0,0.0,0.0,0.0,0.0,0.4,2.0,0.0
HCatFieldSchema.java,8.0,0.0,2.0,2.0,1.0,2.0,15.0,0.0,3.0,6.0,0.0,11.0,1.0,74.0,0.36,1.0,8.0,30.0,1.0,3.034482758620689,12.0,0.0,0.0,0.0,0.0,0.4827586206896552,2.0,0.0
HCatFileUtil.java,31.0,4.0,7.0,4.0,2.0,1.0,11.0,0.0,1.0,3.0,0.0,8.0,1.0,0.0,0.59,4.0,5.0,6.0,7.0,12.333333333333334,21.0,0.0,0.0,0.0,1.0,1.6666666666666667,2.0,0.0
HCatInputFormat.java,15.0,1.0,5.0,2.0,1.0,1.1666666666666667,16.0,0.0,1.0,6.0,0.0,3.0,2.0,43.833333333333336,0.7,0.0,4.35,20.0,1.0,6.75,19.0,0.0,0.0,0.0,0.0,0.65,2.0,0.0
HCatInputFormatReader.java,9.0,0.0,0.0,2.0,2.0,1.5,15.5,0.0,2.0,0.0,1.0,4.0,1.5,37.5,0.23,0.0,3.2,5.0,1.0,6.0,14.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
HCatLoader.java,24.0,1.0,5.0,3.0,1.0,1.0,16.11111111111111,0.0,1.0,0.0,0.0,12.0,1.2222222222222223,17.5,0.3,0.0,5.461538461538462,22.0,1.0,8.346153846153847,46.0,0.0,0.0,0.0,0.0,0.782051282051282,4.0,0.0
HCatMapRedUtil.java,4.0,0.0,0.0,1.0,1.0,1.0,14.0,0.0,1.0,6.0,0.0,1.0,1.0,0.0,0.53,4.0,6.666666666666667,11.0,3.0,4.166666666666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCatMapReduceTest.java,19.0,3.0,3.0,2.0,1.0,1.0,27.666666666666668,1.0,3.0,2.0,4.0,8.0,2.0,26.0,0.26,0.0,5.875,16.0,1.0,8.3125,35.0,0.0,0.0,0.0,0.0,0.625,3.0,0.0
